Age,Gender,City_Tier,Occupation,Income,Shopping_Frequency,Last_Purchase,Categories,Purchase_Influence,Browsing_Time,Cart_Abandonment,Habit_Type,Pre_Purchase_Action,Decision_Style,Mood,Mood_Impact,Emotional_Frequency,Impulse_Behavior,Stress_Purchases,Happy_Purchases,Shopping_Time,Shopping_Situations,Product_Combinations,Hesitation,Tradeoff,Priority,Value_Perception,Post_Purchase_Feeling,Privacy_Comfort,Data_Concern,AI_Trust,Monthly_Spend,Willingness_To_Spend_More,Interest_in_MoodCart
35-44,Prefer not to say,Tier 2,Working Professional,20k-50k,Weekly,Today,Fashion|Electronics,Discounts,5-15,Never,Mostly Planned,Compare Prices,Emotional,Happy,Yes,Very Often,Rarely,Fashion,Fashion,Late Night,Sales|Weekends,Snacks+Beverages|Gadgets+Accessories|Books+Coffee,Delivery Issues,Personalization,Delivery,Recommendation,Neutral,Somewhat Comfortable,Privacy,Low,4048,No,Maybe
18-24,Female,Tier 1,Homemaker,>1L,Rarely,This Month,Wellness,Brand,<5,Often,Mostly Planned,Check Reviews,Emotional,Bored,No,Very Often,Often,Fashion|Wellness|Electronics,Fashion,Evening,Sales|Festivals,Candles+Oils|Snacks+Beverages,Too Many Options,Brand,Brand,Recommendation,Neutral,Somewhat Comfortable,Irrelevant Recommendations,Medium,23155,No,No
35-44,Female,Tier 1,Student,<20k,Weekly,>1 Month,Wellness|Home Decor|Electronics,Discounts,15-30,Rarely,Somewhat Planned,Modify Cart,Emotional,Stressed,Yes,Rarely,Sometimes,Fashion|Home Decor|Electronics,Snacks,Morning,Festivals|Sales,Books+Coffee,Low Trust,Delivery,Quality,Quality,Regretful,Very Comfortable,Irrelevant Recommendations,High,330,Yes,No
35-44,Prefer not to say,Tier 3,Other,50k-1L,Weekly,This Month,Electronics,Discounts,<5,Often,Habitual,Check Reviews,Mixed,Neutral,Yes,Very Often,Often,Fashion|Home Decor|Snacks,Home Decor,Evening,Stress,Books+Coffee|Gadgets+Accessories|Snacks+Beverages,Low Trust,Personalization,Brand,Recommendation,Satisfied,Very Comfortable,Privacy,High,13105,Yes,Yes
35-44,Prefer not to say,Tier 1,Working Professional,50k-1L,Daily,Today,Fashion,Brand,15-30,Sometimes,Mostly Planned,Check Reviews,Logical,Neutral,Yes,Very Often,Rarely,Electronics|Snacks|Fashion,Electronics,Afternoon,Salary|Sales,Gadgets+Accessories|Books+Coffee,Just Browsing,Price,Price,Emotional Satisfaction,Happy,Not Comfortable,No Concerns,Low,7568,Yes,Yes
35-44,Female,Tier 1,Other,>1L,Weekly,>1 Month,Snacks|Wellness|Fashion,Recommendations,15-30,Often,Rare,Modify Cart,Logical,Neutral,Yes,Sometimes,Sometimes,Wellness|Fashion,Wellness,Evening,Festivals|Stress,Books+Coffee|Clothing+Accessories|Gadgets+Accessories,Delivery Issues,Price,Quality,Recommendation,Neutral,Somewhat Comfortable,No Concerns,Medium,21251,Maybe,Maybe
Under 18,Female,Tier 3,Student,>1L,Daily,This Month,Snacks,Discounts,30+,Sometimes,Somewhat Planned,Compare Prices,Mixed,Sad,Yes,Sometimes,Rarely,Electronics,Wellness,Morning,Stress,Gadgets+Accessories,Low Trust,Delivery,Quality,Recommendation,Regretful,Not Comfortable,No Concerns,High,30655,No,No
45+,Female,Tier 1,Other,>1L,Weekly,This Week,Electronics,Reviews,30+,Never,Habitual,Modify Cart,Emotional,Happy,Sometimes,Sometimes,Rarely,Wellness|Snacks|Electronics,Wellness,Morning,Sales|Festivals|Weekends,Snacks+Beverages|Candles+Oils,Delivery Issues,Delivery,Quality,Emotional Satisfaction,Regretful,Not Comfortable,Privacy,Medium,17759,No,Yes
18-24,Prefer not to say,Tier 2,Other,>1L,Weekly,This Week,Snacks|Home Decor|Fashion,Recommendations,<5,Sometimes,Somewhat Planned,Compare Prices,Mixed,Neutral,Yes,Very Often,Never,Home Decor|Fashion,Snacks,Afternoon,Weekends|Salary|Sales,Clothing+Accessories|Gadgets+Accessories,Delivery Issues,Brand,Quality,Quality,Guilty,Somewhat Comfortable,Misuse,High,12805,Yes,Yes
25-34,Female,Tier 2,Business Owner,50k-1L,Rarely,This Week,Home Decor|Fashion,Reviews,15-30,Rarely,Habitual,Check Reviews,Logical,Happy,Sometimes,Very Often,Often,Home Decor|Fashion|Wellness,Fashion,Late Night,Salary,Clothing+Accessories,High Price,Personalization,Brand,Recommendation,Happy,Very Comfortable,Irrelevant Recommendations,Low,13121,No,No
25-34,Prefer not to say,Tier 2,Working Professional,<20k,Monthly,This Week,Wellness|Fashion|Electronics,Reviews,15-30,Never,Habitual,Modify Cart,Emotional,Bored,Yes,Rarely,Sometimes,Fashion|Electronics,Home Decor,Morning,Festivals|Salary,Books+Coffee,High Price,Delivery,Brand,Discount,Happy,Not Comfortable,Privacy,Low,2936,Yes,No
45+,Male,Tier 2,Homemaker,>1L,Rarely,This Month,Home Decor,Price,15-30,Sometimes,Mostly Planned,Modify Cart,Emotional,Bored,No,Sometimes,Sometimes,Home Decor|Snacks,Snacks,Morning,Stress|Sales,Gadgets+Accessories|Candles+Oils,Too Many Options,Personalization,Personalization,Recommendation,Satisfied,Somewhat Comfortable,Irrelevant Recommendations,High,28458,Maybe,Maybe
25-34,Female,Tier 1,Other,<20k,Weekly,Today,Fashion|Snacks,Recommendations,15-30,Often,Habitual,Modify Cart,Logical,Happy,Yes,Rarely,Rarely,Home Decor|Fashion|Wellness,Fashion,Morning,Salary,Books+Coffee,Just Browsing,Personalization,Delivery,Recommendation,Neutral,Very Comfortable,Misuse,Low,3649,Yes,No
45+,Female,Tier 3,Student,20k-50k,Monthly,This Week,Snacks|Fashion,Price,5-15,Never,Rare,Compare Prices,Mixed,Sad,Yes,Sometimes,Sometimes,Snacks|Fashion,Electronics,Evening,Festivals|Weekends,Clothing+Accessories|Books+Coffee|Candles+Oils,Delivery Issues,Personalization,Quality,Quality,Regretful,Not Comfortable,No Concerns,Low,422,Yes,No
25-34,Male,Tier 3,Business Owner,>1L,Rarely,Today,Electronics,Price,15-30,Often,Mostly Planned,Check Reviews,Logical,Happy,Sometimes,Rarely,Never,Fashion,Snacks,Evening,Sales|Stress|Festivals,Clothing+Accessories|Gadgets+Accessories,Low Trust,Quality,Price,Emotional Satisfaction,Satisfied,Somewhat Comfortable,Privacy,High,31344,Maybe,Maybe
25-34,Male,Tier 2,Student,20k-50k,Rarely,>1 Month,Wellness|Electronics|Snacks,Recommendations,<5,Never,Rare,Compare Prices,Mixed,Stressed,Yes,Never,Never,Snacks|Electronics,Wellness,Evening,Stress,Clothing+Accessories|Candles+Oils,High Price,Delivery,Delivery,Discount,Satisfied,Somewhat Comfortable,Irrelevant Recommendations,High,5086,Maybe,No
Under 18,Prefer not to say,Tier 3,Working Professional,<20k,Daily,This Month,Wellness|Snacks|Home Decor,Reviews,30+,Often,Rare,Modify Cart,Emotional,Happy,No,Very Often,Sometimes,Electronics|Fashion,Electronics,Morning,Salary,Candles+Oils|Clothing+Accessories,Too Many Options,Price,Delivery,Emotional Satisfaction,Neutral,Not Comfortable,Irrelevant Recommendations,Low,3066,No,Maybe
25-34,Prefer not to say,Tier 2,Student,<20k,Weekly,>1 Month,Electronics|Home Decor|Snacks,Discounts,5-15,Rarely,Rare,Buy Immediately,Logical,Bored,No,Never,Sometimes,Wellness,Electronics,Morning,Weekends|Sales|Stress,Books+Coffee,High Price,Brand,Brand,Discount,Neutral,Very Comfortable,Misuse,High,3499,Yes,Yes
18-24,Prefer not to say,Tier 3,Working Professional,50k-1L,Rarely,This Week,Snacks,Recommendations,30+,Never,Rare,Compare Prices,Logical,Sad,Yes,Rarely,Rarely,Wellness|Home Decor,Snacks,Afternoon,Stress,Candles+Oils|Gadgets+Accessories|Clothing+Accessories,High Price,Price,Price,Quality,Regretful,Somewhat Comfortable,No Concerns,High,15397,Maybe,No
Under 18,Prefer not to say,Tier 3,Homemaker,20k-50k,Daily,Today,Fashion|Snacks|Home Decor,Discounts,30+,Rarely,Somewhat Planned,Check Reviews,Mixed,Bored,Sometimes,Very Often,Sometimes,Home Decor|Electronics|Fashion,Fashion,Late Night,Stress,Books+Coffee|Gadgets+Accessories,High Price,Delivery,Quality,Recommendation,Guilty,Somewhat Comfortable,No Concerns,Medium,1124,Yes,Maybe
25-34,Female,Tier 1,Other,<20k,Daily,This Week,Wellness|Electronics|Home Decor,Discounts,30+,Often,Somewhat Planned,Modify Cart,Logical,Stressed,Sometimes,Sometimes,Never,Electronics|Fashion,Snacks,Afternoon,Festivals|Sales|Stress,Clothing+Accessories|Snacks+Beverages,Too Many Options,Delivery,Price,Emotional Satisfaction,Satisfied,Very Comfortable,Privacy,Medium,200,Maybe,Yes
25-34,Male,Tier 3,Other,>1L,Monthly,Today,Snacks|Wellness|Electronics,Price,5-15,Sometimes,Somewhat Planned,Buy Immediately,Logical,Neutral,Sometimes,Rarely,Never,Snacks|Fashion|Wellness,Snacks,Afternoon,Salary|Sales,Books+Coffee|Candles+Oils,Low Trust,Brand,Brand,Emotional Satisfaction,Guilty,Not Comfortable,Irrelevant Recommendations,High,28822,Yes,No
25-34,Prefer not to say,Tier 3,Other,<20k,Daily,>1 Month,Wellness,Price,30+,Sometimes,Rare,Check Reviews,Emotional,Stressed,Yes,Rarely,Sometimes,Snacks|Home Decor|Fashion,Electronics,Afternoon,Weekends|Festivals|Salary,Snacks+Beverages|Books+Coffee,Delivery Issues,Personalization,Quality,Quality,Neutral,Somewhat Comfortable,Privacy,Medium,986,Yes,Yes
35-44,Female,Tier 1,Other,50k-1L,Daily,>1 Month,Wellness,Reviews,<5,Rarely,Somewhat Planned,Modify Cart,Mixed,Neutral,Yes,Very Often,Sometimes,Electronics,Fashion,Evening,Festivals|Weekends,Snacks+Beverages,Too Many Options,Personalization,Brand,Discount,Guilty,Somewhat Comfortable,No Concerns,Low,8330,Yes,No
18-24,Prefer not to say,Tier 3,Other,20k-50k,Rarely,This Week,Fashion|Snacks,Reviews,5-15,Often,Mostly Planned,Compare Prices,Logical,Sad,Sometimes,Very Often,Rarely,Wellness|Snacks|Home Decor,Home Decor,Late Night,Festivals|Salary|Sales,Snacks+Beverages,High Price,Quality,Brand,Quality,Satisfied,Somewhat Comfortable,Privacy,Low,733,No,No
35-44,Male,Tier 2,Business Owner,20k-50k,Daily,Today,Electronics,Reviews,5-15,Rarely,Somewhat Planned,Buy Immediately,Logical,Neutral,No,Rarely,Rarely,Home Decor,Snacks,Morning,Festivals,Clothing+Accessories|Candles+Oils,Just Browsing,Personalization,Quality,Emotional Satisfaction,Regretful,Very Comfortable,No Concerns,Medium,5551,Yes,Yes
Under 18,Prefer not to say,Tier 1,Business Owner,50k-1L,Daily,This Week,Fashion|Snacks|Wellness,Discounts,<5,Sometimes,Habitual,Compare Prices,Mixed,Stressed,Yes,Rarely,Often,Home Decor,Home Decor,Morning,Festivals|Salary,Gadgets+Accessories|Clothing+Accessories|Snacks+Beverages,High Price,Delivery,Quality,Recommendation,Neutral,Not Comfortable,Misuse,High,14243,Yes,Maybe
35-44,Male,Tier 3,Working Professional,20k-50k,Weekly,Today,Snacks|Wellness|Home Decor,Price,30+,Never,Mostly Planned,Check Reviews,Logical,Sad,Yes,Sometimes,Sometimes,Fashion|Wellness,Wellness,Evening,Stress|Festivals,Snacks+Beverages|Clothing+Accessories,High Price,Price,Personalization,Recommendation,Satisfied,Not Comfortable,Privacy,High,5212,Yes,Yes
25-34,Prefer not to say,Tier 2,Business Owner,50k-1L,Weekly,This Week,Home Decor|Electronics,Discounts,15-30,Never,Mostly Planned,Check Reviews,Logical,Sad,Yes,Sometimes,Rarely,Home Decor|Snacks|Electronics,Fashion,Morning,Festivals|Sales|Weekends,Gadgets+Accessories|Books+Coffee,Low Trust,Quality,Quality,Emotional Satisfaction,Regretful,Somewhat Comfortable,No Concerns,Medium,8569,Maybe,Maybe
35-44,Male,Tier 3,Business Owner,<20k,Daily,Today,Home Decor|Electronics,Discounts,<5,Never,Somewhat Planned,Compare Prices,Logical,Neutral,Yes,Rarely,Often,Snacks|Electronics,Fashion,Afternoon,Weekends|Festivals|Sales,Clothing+Accessories|Books+Coffee|Gadgets+Accessories,Too Many Options,Delivery,Price,Discount,Happy,Not Comfortable,Irrelevant Recommendations,Medium,200,Yes,Yes
35-44,Female,Tier 3,Business Owner,20k-50k,Rarely,Today,Electronics,Discounts,30+,Often,Rare,Compare Prices,Emotional,Stressed,Yes,Sometimes,Often,Home Decor|Electronics|Snacks,Wellness,Morning,Sales|Weekends,Clothing+Accessories,Too Many Options,Price,Quality,Discount,Satisfied,Very Comfortable,Misuse,Medium,5647,Yes,No
45+,Male,Tier 1,Other,20k-50k,Monthly,Today,Fashion|Wellness,Price,<5,Never,Rare,Check Reviews,Mixed,Neutral,No,Never,Often,Fashion|Home Decor,Fashion,Morning,Festivals|Weekends|Salary,Snacks+Beverages|Candles+Oils|Books+Coffee,Just Browsing,Brand,Price,Emotional Satisfaction,Happy,Somewhat Comfortable,No Concerns,High,2230,No,Yes
18-24,Male,Tier 2,Working Professional,>1L,Weekly,This Month,Snacks,Reviews,<5,Never,Somewhat Planned,Modify Cart,Emotional,Happy,Yes,Sometimes,Often,Wellness|Home Decor|Fashion,Home Decor,Morning,Stress|Salary,Gadgets+Accessories|Snacks+Beverages,Too Many Options,Delivery,Quality,Recommendation,Happy,Not Comfortable,Privacy,Medium,10169,Maybe,Yes
Under 18,Female,Tier 3,Student,20k-50k,Rarely,This Month,Snacks|Fashion|Electronics,Discounts,30+,Never,Mostly Planned,Compare Prices,Logical,Sad,Yes,Rarely,Often,Fashion|Electronics|Home Decor,Electronics,Evening,Stress,Snacks+Beverages,Too Many Options,Brand,Personalization,Discount,Happy,Very Comfortable,Misuse,High,3576,Yes,Yes
45+,Female,Tier 1,Business Owner,50k-1L,Weekly,Today,Fashion|Electronics,Recommendations,30+,Sometimes,Somewhat Planned,Modify Cart,Logical,Happy,No,Never,Often,Electronics|Home Decor|Fashion,Home Decor,Late Night,Festivals,Gadgets+Accessories,High Price,Personalization,Quality,Recommendation,Satisfied,Somewhat Comfortable,Misuse,Medium,13213,Maybe,Yes
18-24,Female,Tier 1,Homemaker,>1L,Monthly,This Month,Snacks,Reviews,15-30,Sometimes,Mostly Planned,Modify Cart,Emotional,Bored,Yes,Sometimes,Rarely,Fashion|Wellness|Electronics,Home Decor,Evening,Sales,Snacks+Beverages|Gadgets+Accessories,Too Many Options,Brand,Brand,Discount,Satisfied,Somewhat Comfortable,Irrelevant Recommendations,High,21665,Yes,No
18-24,Prefer not to say,Tier 3,Business Owner,20k-50k,Weekly,This Week,Home Decor|Fashion|Snacks,Price,30+,Sometimes,Mostly Planned,Modify Cart,Logical,Bored,Yes,Rarely,Often,Wellness|Home Decor|Snacks,Home Decor,Afternoon,Sales|Weekends|Festivals,Books+Coffee,Just Browsing,Price,Brand,Discount,Happy,Somewhat Comfortable,Misuse,High,3343,Yes,Maybe
35-44,Female,Tier 2,Business Owner,50k-1L,Daily,>1 Month,Wellness,Price,15-30,Rarely,Somewhat Planned,Buy Immediately,Mixed,Happy,Yes,Never,Never,Home Decor|Fashion|Snacks,Snacks,Afternoon,Festivals|Salary,Books+Coffee|Clothing+Accessories,Just Browsing,Price,Brand,Emotional Satisfaction,Satisfied,Not Comfortable,No Concerns,Low,5336,Maybe,No
18-24,Prefer not to say,Tier 3,Working Professional,20k-50k,Daily,This Week,Fashion|Wellness,Reviews,15-30,Often,Habitual,Check Reviews,Logical,Bored,Sometimes,Never,Rarely,Wellness,Snacks,Afternoon,Weekends|Festivals|Salary,Clothing+Accessories|Books+Coffee,Just Browsing,Price,Brand,Quality,Happy,Not Comfortable,Misuse,High,4068,No,No
35-44,Prefer not to say,Tier 3,Student,20k-50k,Monthly,>1 Month,Electronics|Home Decor,Brand,30+,Sometimes,Rare,Modify Cart,Mixed,Bored,Yes,Never,Rarely,Fashion|Home Decor|Wellness,Electronics,Evening,Festivals|Stress|Salary,Clothing+Accessories|Candles+Oils,Delivery Issues,Brand,Personalization,Emotional Satisfaction,Satisfied,Somewhat Comfortable,Misuse,Medium,3710,Maybe,No
Under 18,Male,Tier 1,Business Owner,50k-1L,Rarely,Today,Snacks|Electronics|Wellness,Reviews,15-30,Often,Somewhat Planned,Compare Prices,Emotional,Happy,Yes,Very Often,Rarely,Home Decor,Home Decor,Evening,Salary|Festivals,Snacks+Beverages|Candles+Oils,Low Trust,Price,Quality,Recommendation,Regretful,Not Comfortable,Irrelevant Recommendations,Medium,35845,Maybe,Yes
18-24,Female,Tier 3,Working Professional,>1L,Rarely,>1 Month,Home Decor|Wellness|Snacks,Price,15-30,Sometimes,Habitual,Modify Cart,Mixed,Sad,Sometimes,Rarely,Never,Electronics|Snacks,Snacks,Afternoon,Festivals,Gadgets+Accessories,Low Trust,Personalization,Personalization,Emotional Satisfaction,Neutral,Somewhat Comfortable,No Concerns,Medium,24024,Yes,No
Under 18,Male,Tier 2,Working Professional,>1L,Monthly,This Month,Home Decor|Snacks|Electronics,Brand,15-30,Often,Somewhat Planned,Compare Prices,Logical,Stressed,Yes,Rarely,Never,Electronics|Fashion,Fashion,Evening,Stress,Candles+Oils,Just Browsing,Personalization,Price,Emotional Satisfaction,Happy,Somewhat Comfortable,No Concerns,Medium,15221,No,Maybe
45+,Male,Tier 1,Working Professional,>1L,Rarely,Today,Snacks|Wellness|Home Decor,Reviews,15-30,Often,Habitual,Buy Immediately,Emotional,Stressed,Yes,Rarely,Sometimes,Wellness|Snacks,Wellness,Morning,Weekends|Sales|Salary,Gadgets+Accessories,Delivery Issues,Quality,Personalization,Recommendation,Happy,Not Comfortable,Irrelevant Recommendations,Medium,24226,Yes,Maybe
45+,Male,Tier 1,Business Owner,50k-1L,Rarely,This Week,Wellness|Snacks|Electronics,Reviews,30+,Sometimes,Habitual,Buy Immediately,Emotional,Neutral,Yes,Never,Often,Electronics|Snacks,Home Decor,Late Night,Stress|Festivals,Books+Coffee|Clothing+Accessories,High Price,Price,Personalization,Quality,Neutral,Somewhat Comfortable,Irrelevant Recommendations,High,7057,Yes,Yes
45+,Male,Tier 3,Working Professional,20k-50k,Rarely,>1 Month,Fashion,Discounts,30+,Rarely,Somewhat Planned,Check Reviews,Logical,Bored,Sometimes,Rarely,Sometimes,Fashion|Home Decor,Fashion,Afternoon,Stress,Clothing+Accessories|Snacks+Beverages|Candles+Oils,Too Many Options,Personalization,Price,Emotional Satisfaction,Regretful,Very Comfortable,Misuse,High,12595,Maybe,Yes
35-44,Female,Tier 3,Homemaker,<20k,Monthly,This Month,Fashion|Wellness,Recommendations,<5,Never,Rare,Buy Immediately,Mixed,Happy,No,Rarely,Sometimes,Home Decor|Wellness,Fashion,Afternoon,Salary|Weekends,Books+Coffee|Snacks+Beverages|Candles+Oils,High Price,Price,Price,Discount,Neutral,Very Comfortable,Privacy,Low,200,No,Maybe
25-34,Male,Tier 1,Homemaker,20k-50k,Daily,This Week,Electronics|Home Decor|Fashion,Recommendations,<5,Never,Mostly Planned,Check Reviews,Logical,Sad,Sometimes,Rarely,Sometimes,Home Decor|Fashion|Wellness,Wellness,Late Night,Weekends|Festivals|Sales,Clothing+Accessories|Snacks+Beverages,Too Many Options,Brand,Brand,Quality,Neutral,Very Comfortable,Misuse,Low,7212,Yes,No
35-44,Prefer not to say,Tier 1,Homemaker,50k-1L,Rarely,This Week,Electronics|Home Decor|Snacks,Price,15-30,Never,Habitual,Compare Prices,Logical,Happy,Yes,Rarely,Never,Wellness|Snacks|Home Decor,Wellness,Late Night,Weekends|Stress|Salary,Candles+Oils,Low Trust,Brand,Brand,Emotional Satisfaction,Happy,Somewhat Comfortable,No Concerns,Low,14967,Yes,Maybe
Under 18,Male,Tier 2,Student,<20k,Rarely,Today,Snacks|Home Decor|Fashion,Reviews,5-15,Never,Mostly Planned,Modify Cart,Mixed,Neutral,Yes,Never,Sometimes,Fashion|Home Decor|Wellness,Home Decor,Morning,Festivals,Books+Coffee|Candles+Oils,Too Many Options,Quality,Brand,Recommendation,Neutral,Very Comfortable,Misuse,Low,332,Maybe,No
25-34,Prefer not to say,Tier 2,Homemaker,50k-1L,Monthly,>1 Month,Home Decor,Reviews,5-15,Never,Rare,Compare Prices,Logical,Happy,Yes,Sometimes,Sometimes,Snacks|Home Decor,Home Decor,Morning,Salary|Weekends,Gadgets+Accessories|Candles+Oils|Clothing+Accessories,High Price,Brand,Delivery,Recommendation,Happy,Not Comfortable,Irrelevant Recommendations,Low,12704,Yes,Maybe
25-34,Female,Tier 1,Business Owner,20k-50k,Daily,This Month,Snacks,Brand,<5,Often,Somewhat Planned,Buy Immediately,Emotional,Neutral,Sometimes,Never,Rarely,Fashion|Wellness,Snacks,Afternoon,Sales,Books+Coffee|Clothing+Accessories|Candles+Oils,Too Many Options,Personalization,Delivery,Quality,Regretful,Not Comfortable,Privacy,Low,3293,No,Maybe
25-34,Prefer not to say,Tier 2,Homemaker,>1L,Daily,This Week,Electronics,Brand,<5,Rarely,Somewhat Planned,Modify Cart,Emotional,Neutral,No,Sometimes,Sometimes,Home Decor,Fashion,Evening,Salary,Snacks+Beverages|Clothing+Accessories|Candles+Oils,Low Trust,Quality,Brand,Discount,Regretful,Not Comfortable,Privacy,High,24059,Maybe,Yes
18-24,Male,Tier 1,Business Owner,20k-50k,Monthly,Today,Fashion,Reviews,30+,Rarely,Mostly Planned,Check Reviews,Logical,Sad,Sometimes,Rarely,Sometimes,Home Decor|Snacks,Wellness,Morning,Salary|Festivals|Stress,Books+Coffee|Snacks+Beverages,Too Many Options,Quality,Personalization,Recommendation,Satisfied,Not Comfortable,Privacy,Low,267,Yes,No
25-34,Prefer not to say,Tier 1,Business Owner,>1L,Rarely,Today,Wellness|Home Decor,Reviews,<5,Sometimes,Rare,Buy Immediately,Logical,Stressed,Yes,Rarely,Sometimes,Wellness|Snacks|Home Decor,Fashion,Morning,Salary|Weekends,Candles+Oils|Gadgets+Accessories|Snacks+Beverages,Just Browsing,Price,Brand,Emotional Satisfaction,Satisfied,Very Comfortable,Privacy,Low,28017,Yes,Maybe
18-24,Female,Tier 2,Other,<20k,Monthly,This Month,Home Decor|Electronics,Discounts,5-15,Often,Somewhat Planned,Modify Cart,Logical,Happy,Yes,Never,Often,Snacks|Fashion,Snacks,Morning,Festivals,Candles+Oils|Books+Coffee|Clothing+Accessories,Too Many Options,Delivery,Price,Recommendation,Happy,Somewhat Comfortable,Privacy,High,1375,Yes,Yes
Under 18,Female,Tier 1,Homemaker,<20k,Weekly,>1 Month,Electronics,Recommendations,5-15,Rarely,Rare,Compare Prices,Emotional,Neutral,No,Rarely,Rarely,Wellness|Home Decor,Home Decor,Afternoon,Salary|Sales|Weekends,Clothing+Accessories,High Price,Price,Delivery,Emotional Satisfaction,Satisfied,Somewhat Comfortable,No Concerns,High,200,Yes,No
45+,Prefer not to say,Tier 1,Other,>1L,Weekly,Today,Home Decor|Wellness|Electronics,Discounts,30+,Often,Mostly Planned,Buy Immediately,Mixed,Stressed,No,Never,Often,Electronics|Fashion|Wellness,Snacks,Afternoon,Weekends|Festivals,Gadgets+Accessories|Books+Coffee,Delivery Issues,Brand,Personalization,Discount,Guilty,Very Comfortable,Privacy,Medium,29093,Maybe,Yes
Under 18,Male,Tier 3,Other,>1L,Weekly,>1 Month,Home Decor|Snacks,Brand,30+,Sometimes,Mostly Planned,Compare Prices,Logical,Bored,No,Rarely,Sometimes,Snacks,Electronics,Evening,Weekends,Snacks+Beverages|Gadgets+Accessories,High Price,Quality,Personalization,Quality,Satisfied,Very Comfortable,Irrelevant Recommendations,High,29451,Maybe,No
45+,Male,Tier 1,Student,20k-50k,Daily,This Week,Electronics|Snacks,Price,30+,Sometimes,Somewhat Planned,Compare Prices,Logical,Sad,Sometimes,Never,Sometimes,Home Decor|Fashion,Fashion,Morning,Stress|Salary|Sales,Snacks+Beverages,Low Trust,Quality,Quality,Discount,Satisfied,Very Comfortable,No Concerns,Low,812,Yes,Maybe
18-24,Female,Tier 2,Student,50k-1L,Rarely,>1 Month,Wellness,Reviews,15-30,Often,Somewhat Planned,Compare Prices,Logical,Bored,Sometimes,Very Often,Sometimes,Electronics,Home Decor,Late Night,Sales|Weekends|Salary,Clothing+Accessories|Gadgets+Accessories|Snacks+Beverages,Low Trust,Price,Brand,Quality,Regretful,Very Comfortable,Misuse,High,7345,No,Maybe
25-34,Prefer not to say,Tier 3,Homemaker,<20k,Rarely,This Month,Electronics|Snacks|Home Decor,Price,5-15,Sometimes,Rare,Modify Cart,Logical,Bored,Yes,Never,Often,Electronics|Fashion,Wellness,Afternoon,Festivals,Gadgets+Accessories,High Price,Brand,Delivery,Quality,Guilty,Somewhat Comfortable,No Concerns,Low,398,Maybe,No
25-34,Female,Tier 2,Business Owner,50k-1L,Rarely,Today,Electronics|Snacks|Fashion,Recommendations,30+,Often,Habitual,Buy Immediately,Mixed,Happy,Sometimes,Sometimes,Rarely,Electronics|Wellness|Snacks,Wellness,Evening,Sales|Stress|Festivals,Gadgets+Accessories|Books+Coffee,Too Many Options,Price,Price,Quality,Neutral,Very Comfortable,Privacy,Low,14567,Maybe,No
35-44,Male,Tier 3,Homemaker,20k-50k,Daily,This Month,Fashion|Snacks,Reviews,<5,Never,Somewhat Planned,Modify Cart,Mixed,Stressed,Yes,Never,Never,Wellness|Fashion|Snacks,Electronics,Late Night,Salary|Stress,Clothing+Accessories|Books+Coffee,Too Many Options,Personalization,Price,Emotional Satisfaction,Neutral,Somewhat Comfortable,No Concerns,High,1508,Maybe,Yes
Under 18,Female,Tier 3,Homemaker,50k-1L,Daily,Today,Snacks|Fashion|Home Decor,Brand,15-30,Never,Mostly Planned,Buy Immediately,Logical,Happy,Yes,Never,Rarely,Home Decor|Fashion|Electronics,Wellness,Morning,Stress,Snacks+Beverages|Books+Coffee,Too Many Options,Quality,Price,Discount,Happy,Not Comfortable,Irrelevant Recommendations,Low,3479,No,Maybe
Under 18,Female,Tier 2,Working Professional,50k-1L,Daily,Today,Snacks|Wellness|Home Decor,Reviews,15-30,Often,Mostly Planned,Buy Immediately,Emotional,Neutral,No,Sometimes,Sometimes,Home Decor|Wellness|Snacks,Snacks,Afternoon,Weekends|Sales|Festivals,Snacks+Beverages|Clothing+Accessories,Too Many Options,Personalization,Personalization,Recommendation,Regretful,Somewhat Comfortable,Privacy,Low,5996,No,No
18-24,Male,Tier 2,Student,<20k,Monthly,This Month,Snacks|Electronics,Price,30+,Sometimes,Rare,Check Reviews,Mixed,Sad,Sometimes,Rarely,Rarely,Fashion,Electronics,Late Night,Weekends|Festivals,Clothing+Accessories|Gadgets+Accessories,Too Many Options,Brand,Personalization,Recommendation,Satisfied,Not Comfortable,Irrelevant Recommendations,Medium,3118,Maybe,Yes
25-34,Male,Tier 2,Homemaker,20k-50k,Weekly,This Month,Snacks,Brand,30+,Rarely,Mostly Planned,Modify Cart,Emotional,Neutral,Sometimes,Never,Often,Electronics|Fashion|Wellness,Fashion,Late Night,Salary,Snacks+Beverages|Gadgets+Accessories,Low Trust,Quality,Quality,Recommendation,Regretful,Very Comfortable,Misuse,High,820,Maybe,Yes
Under 18,Prefer not to say,Tier 1,Business Owner,>1L,Rarely,>1 Month,Snacks|Home Decor|Wellness,Discounts,15-30,Never,Habitual,Compare Prices,Mixed,Sad,Sometimes,Very Often,Never,Home Decor|Snacks|Electronics,Electronics,Morning,Festivals,Gadgets+Accessories,High Price,Delivery,Brand,Quality,Neutral,Very Comfortable,Irrelevant Recommendations,Medium,18448,Yes,Maybe
